epoch,accuracy,loss,val_accuracy,val_loss
0,0.5155454277992249,1.2940927743911743,0.5092636346817017,1.3567280769348145
1,0.5662181973457336,1.1530770063400269,0.5202999711036682,1.4590636491775513
2,0.58845454454422,1.1158838272094727,0.5874000191688538,1.1359907388687134
3,0.6047999858856201,1.0826950073242188,0.5843545198440552,1.1559277772903442
4,0.6159272789955139,1.058563470840454,0.5793636441230774,1.2116024494171143
5,0.6256181597709656,1.0374921560287476,0.5725908875465393,1.2726047039031982
6,0.6329272985458374,1.0177918672561646,0.602045476436615,1.120879888534546
7,0.6426181793212891,0.9923785924911499,0.5611818432807922,1.3915704488754272
8,0.6536545157432556,0.9663068652153015,0.5641636252403259,1.4435365200042725
9,0.6646727323532104,0.935791552066803,0.5561090707778931,1.5189149379730225
10,0.6755545735359192,0.9083492159843445,0.5506091117858887,1.6590988636016846
11,0.6938363909721375,0.8579195141792297,0.5583727359771729,1.7410625219345093
12,0.7110545635223389,0.8086954355239868,0.5696091055870056,1.4834505319595337
13,0.7286272644996643,0.7498343586921692,0.553490936756134,1.864575982093811
14,0.7504909038543701,0.6841078400611877,0.5966818332672119,1.587085485458374
15,0.7750909328460693,0.609906017780304,0.5492181777954102,2.3866782188415527
16,0.7976272702217102,0.5397469401359558,0.557345449924469,2.437678337097168
17,0.819599986076355,0.47243744134902954,0.5572181940078735,2.2844929695129395
18,0.8438454270362854,0.40499386191368103,0.5690818428993225,2.353912115097046
19,0.8639909029006958,0.3505193293094635,0.5533727407455444,2.473785161972046
20,0.8844272494316101,0.298350065946579,0.5627909302711487,2.3067562580108643
21,0.8992999792098999,0.25710758566856384,0.550636351108551,2.818483591079712
