epoch,accuracy,loss,val_accuracy,val_loss
0,0.4849727153778076,1.3908640146255493,0.4921000003814697,1.3866556882858276
1,0.5523909330368042,1.1837139129638672,0.5594182014465332,1.172419786453247
2,0.5704181790351868,1.1410924196243286,0.5470091104507446,1.2513103485107422
3,0.5926636457443237,1.1102231740951538,0.5586363673210144,1.1853827238082886
4,0.605790913105011,1.081964135169983,0.5890272855758667,1.126954197883606
5,0.6157636642456055,1.058301329612732,0.5721545219421387,1.1957005262374878
6,0.6248272657394409,1.0337587594985962,0.5635091066360474,1.2322169542312622
7,0.6358727216720581,1.0067716836929321,0.5503000020980835,1.3316617012023926
8,0.6506363749504089,0.9717511534690857,0.5502727031707764,1.3673022985458374
9,0.6644545197486877,0.933680534362793,0.556954562664032,1.5032161474227905
10,0.6817908883094788,0.88370281457901,0.5604181885719299,1.4687973260879517
11,0.7030909061431885,0.8191540241241455,0.527899980545044,1.8292514085769653
12,0.7293000221252441,0.7417078614234924,0.5614181756973267,1.8141781091690063
13,0.7598272562026978,0.6508563756942749,0.5639272928237915,1.8325257301330566
14,0.7905091047286987,0.55633944272995,0.5430454611778259,2.178779363632202
15,0.8243727087974548,0.4600171744823456,0.5311363339424133,2.978217601776123
16,0.8504727482795715,0.3865717947483063,0.5245000123977661,2.8907485008239746
17,0.8720909357070923,0.3277725875377655,0.5506908893585205,2.6855084896087646
18,0.8913090825080872,0.27615368366241455,0.5658090710639954,2.760084867477417
19,0.9043818116188049,0.24518492817878723,0.5532272458076477,2.899061679840088
